"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"21-Oct-2024","EQ","1,047.00","1,059.45","986.35","1,093.25","1,015.90","1,017.05","1,009.60","1,269.00","872.00","1,14,84,692","11,59,49,34,034.15","3,19,862"
"18-Oct-2024","EQ","1,090.15","1,098.15","1,072.05","1,090.15","1,097.00","1,093.25","1,085.04","1,269.00","872.00","9,53,926","1,03,50,45,484.50","50,516"
"17-Oct-2024","EQ","1,113.00","1,117.00","1,087.65","1,113.95","1,088.50","1,090.15","1,096.00","1,269.00","872.00","9,75,432","1,06,90,70,987.00","53,313"
"16-Oct-2024","EQ","1,115.20","1,120.00","1,102.10","1,115.25","1,114.75","1,113.95","1,111.21","1,269.00","872.00","7,38,403","82,05,23,642.35","43,994"
"15-Oct-2024","EQ","1,116.00","1,119.00","1,106.10","1,113.55","1,115.75","1,115.25","1,113.48","1,269.00","872.00","7,68,815","85,60,59,783.60","36,403"
"14-Oct-2024","EQ","1,120.00","1,138.00","1,105.60","1,113.10","1,115.00","1,113.55","1,113.05","1,269.00","872.00","5,13,799","57,18,82,347.50","33,927"
"11-Oct-2024","EQ","1,118.00","1,122.35","1,101.65","1,114.15","1,114.00","1,113.10","1,111.57","1,269.00","866.80","5,69,469","63,30,01,896.65","34,307"
"10-Oct-2024","EQ","1,117.80","1,129.00","1,111.40","1,117.80","1,116.35","1,114.15","1,118.10","1,269.00","866.80","11,76,370","1,31,53,03,211.15","78,107"
"09-Oct-2024","EQ","1,127.00","1,132.00","1,110.00","1,119.05","1,121.00","1,117.80","1,118.22","1,269.00","866.80","13,22,027","1,47,83,11,002.15","58,781"
"08-Oct-2024","EQ","1,111.40","1,124.40","1,105.45","1,111.40","1,123.90","1,119.05","1,114.53","1,269.00","866.80","17,38,272","1,93,73,63,566.15","81,862"
"07-Oct-2024","EQ","1,130.40","1,142.65","1,106.95","1,130.40","1,115.95","1,111.40","1,118.62","1,269.00","866.80","15,42,124","1,72,50,54,005.25","68,854"
"04-Oct-2024","EQ","1,150.00","1,154.75","1,125.20","1,152.75","1,136.30","1,130.40","1,138.71","1,269.00","855.00","17,73,781","2,01,98,20,079.90","78,875"
"03-Oct-2024","EQ","1,186.00","1,190.00","1,150.15","1,196.25","1,155.20","1,152.75","1,161.65","1,269.00","855.00","19,12,206","2,22,13,07,562.35","92,483"
"01-Oct-2024","EQ","1,196.95","1,205.45","1,191.60","1,196.95","1,195.00","1,196.25","1,197.17","1,269.00","855.00","8,92,381","1,06,83,32,277.05","58,771"
"30-Sep-2024","EQ","1,194.95","1,213.65","1,194.95","1,201.55","1,197.00","1,196.95","1,200.53","1,269.00","855.00","12,23,096","1,46,83,65,054.10","44,540"
"27-Sep-2024","EQ","1,213.95","1,215.70","1,199.00","1,213.45","1,202.00","1,201.55","1,205.26","1,269.00","855.00","21,77,204","2,62,40,90,764.55","74,731"
"26-Sep-2024","EQ","1,195.00","1,217.00","1,191.15","1,189.60","1,210.95","1,213.45","1,205.19","1,269.00","855.00","23,23,705","2,80,04,99,637.65","1,06,338"
"25-Sep-2024","EQ","1,213.90","1,216.00","1,182.05","1,211.65","1,189.00","1,189.60","1,190.36","1,269.00","855.00","24,48,744","2,91,48,98,473.65","75,670"
"24-Sep-2024","EQ","1,216.00","1,227.90","1,210.05","1,211.55","1,213.90","1,211.65","1,214.90","1,269.00","855.00","33,93,528","4,12,28,02,786.65","50,801"
"23-Sep-2024","EQ","1,222.00","1,233.65","1,210.25","1,216.85","1,212.40","1,211.55","1,217.88","1,269.00","855.00","28,18,001","3,43,19,87,172.50","74,709"
"20-Sep-2024","EQ","1,220.00","1,230.95","1,213.35","1,215.25","1,220.60","1,216.85","1,219.83","1,269.00","855.00","35,33,125","4,30,97,96,616.15","85,596"
"19-Sep-2024","EQ","1,207.00","1,225.60","1,204.05","1,200.85","1,216.00","1,215.25","1,216.49","1,269.00","855.00","27,37,652","3,33,03,22,559.95","70,782"
"18-Sep-2024","EQ","1,220.25","1,223.40","1,194.00","1,220.25","1,202.10","1,200.85","1,203.62","1,269.00","855.00","9,30,896","1,12,04,45,977.35","42,231"
"17-Sep-2024","EQ","1,223.00","1,234.30","1,212.15","1,218.50","1,218.10","1,220.25","1,221.26","1,269.00","855.00","14,50,593","1,77,15,54,540.00","39,585"
"16-Sep-2024","EQ","1,220.00","1,223.75","1,207.00","1,210.30","1,220.00","1,218.50","1,216.97","1,269.00","855.00","9,84,584","1,19,82,07,117.10","45,496"
"13-Sep-2024","EQ","1,226.00","1,227.00","1,208.05","1,222.75","1,209.90","1,210.30","1,211.85","1,269.00","854.75","15,69,211","1,90,16,42,297.60","36,277"
"12-Sep-2024","EQ","1,210.00","1,225.95","1,199.35","1,204.40","1,223.00","1,222.75","1,210.69","1,269.00","854.75","26,35,403","3,19,06,54,262.00","1,02,064"
"11-Sep-2024","EQ","1,209.90","1,219.00","1,201.25","1,204.15","1,203.35","1,204.40","1,209.29","1,269.00","854.75","18,37,013","2,22,14,78,696.75","70,635"
"10-Sep-2024","EQ","1,200.00","1,212.95","1,196.25","1,192.05","1,201.55","1,204.15","1,206.69","1,269.00","854.75","18,15,998","2,19,13,55,274.85","90,030"
"09-Sep-2024","EQ","1,173.85","1,195.95","1,169.90","1,173.85","1,190.65","1,192.05","1,189.32","1,269.00","854.75","19,69,830","2,34,27,53,531.80","92,282"
"06-Sep-2024","EQ","1,188.00","1,191.75","1,168.75","1,188.65","1,175.00","1,173.85","1,177.09","1,269.00","837.00","9,89,655","1,16,49,08,998.15","44,843"
"05-Sep-2024","EQ","1,199.50","1,206.85","1,185.65","1,194.95","1,187.40","1,188.65","1,194.21","1,269.00","837.00","10,62,421","1,26,87,49,122.75","41,443"
"04-Sep-2024","EQ","1,196.05","1,198.95","1,175.00","1,199.00","1,193.45","1,194.95","1,186.82","1,269.00","837.00","16,33,635","1,93,88,28,301.20","53,326"
"03-Sep-2024","EQ","1,209.00","1,218.35","1,196.30","1,199.70","1,197.80","1,199.00","1,207.64","1,269.00","837.00","18,84,428","2,27,57,16,669.20","56,348"
"02-Sep-2024","EQ","1,200.00","1,227.00","1,197.20","1,200.15","1,202.95","1,199.70","1,210.51","1,269.00","837.00","18,52,516","2,24,24,82,759.10","77,792"
"30-Aug-2024","EQ","1,195.00","1,207.50","1,195.00","1,198.45","1,202.50","1,200.15","1,200.20","1,269.00","828.25","25,50,399","3,06,09,89,864.70","59,289"
"29-Aug-2024","EQ","1,201.15","1,208.90","1,185.25","1,201.15","1,195.00","1,198.45","1,196.97","1,269.00","828.25","10,62,444","1,27,17,17,219.30","66,299"
"28-Aug-2024","EQ","1,210.00","1,215.35","1,196.60","1,209.60","1,197.30","1,201.15","1,205.96","1,269.00","828.25","7,79,730","94,03,22,031.45","39,755"
"27-Aug-2024","EQ","1,220.00","1,220.55","1,208.00","1,220.05","1,210.00","1,209.60","1,213.04","1,269.00","828.25","4,83,025","58,59,26,454.60","26,355"
"26-Aug-2024","EQ","1,205.00","1,221.85","1,194.05","1,196.80","1,220.00","1,220.05","1,214.51","1,269.00","828.25","10,45,317","1,26,95,47,779.20","51,598"
"23-Aug-2024","EQ","1,212.00","1,215.00","1,194.90","1,205.80","1,196.00","1,196.80","1,203.98","1,269.00","828.25","8,52,159","1,02,59,78,656.50","34,002"
"22-Aug-2024","EQ","1,184.05","1,209.85","1,181.00","1,177.55","1,206.00","1,205.80","1,201.00","1,269.00","828.25","20,41,300","2,45,15,98,939.70","75,703"
"21-Aug-2024","EQ","1,171.95","1,181.00","1,167.05","1,171.20","1,180.00","1,177.55","1,173.80","1,269.00","828.25","8,02,420","94,18,79,805.10","37,354"
"20-Aug-2024","EQ","1,182.95","1,182.95","1,166.75","1,177.40","1,171.45","1,171.20","1,171.67","1,269.00","828.25","6,73,329","78,89,16,982.45","40,642"
"19-Aug-2024","EQ","1,198.00","1,200.00","1,171.55","1,187.75","1,176.50","1,177.40","1,178.63","1,269.00","828.25","6,82,374","80,42,64,767.65","35,525"
"16-Aug-2024","EQ","1,168.00","1,190.65","1,168.00","1,167.55","1,187.15","1,187.75","1,182.59","1,269.00","828.25","8,31,846","98,37,33,782.40","46,146"
"14-Aug-2024","EQ","1,187.00","1,187.10","1,158.70","1,178.80","1,167.40","1,167.55","1,168.50","1,269.00","828.25","9,91,108","1,15,81,13,289.55","63,434"
"13-Aug-2024","EQ","1,172.70","1,182.75","1,167.60","1,170.80","1,180.85","1,178.80","1,177.56","1,269.00","828.25","7,85,371","92,48,20,661.10","43,592"
"12-Aug-2024","EQ","1,176.00","1,184.35","1,166.05","1,186.15","1,172.65","1,170.80","1,174.99","1,269.00","828.25","7,87,584","92,54,07,144.65","52,309"
"09-Aug-2024","EQ","1,188.90","1,188.90","1,180.00","1,178.30","1,183.15","1,186.15","1,185.30","1,269.00","828.25","4,89,864","58,06,36,782.05","29,354"
"08-Aug-2024","EQ","1,192.00","1,195.00","1,174.00","1,199.60","1,176.05","1,178.30","1,180.51","1,269.00","828.25","12,98,997","1,53,34,76,969.20","67,004"
"07-Aug-2024","EQ","1,182.55","1,207.75","1,182.55","1,185.60","1,200.00","1,199.60","1,199.14","1,269.00","828.25","7,59,323","91,05,38,025.45","47,616"
"06-Aug-2024","EQ","1,200.00","1,212.10","1,182.85","1,199.40","1,187.00","1,185.60","1,197.80","1,269.00","828.25","13,04,014","1,56,19,52,119.45","58,708"
"05-Aug-2024","EQ","1,176.00","1,213.60","1,151.00","1,193.65","1,202.00","1,199.40","1,200.25","1,269.00","828.25","37,18,458","4,46,30,84,900.10","1,48,915"
"02-Aug-2024","EQ","1,200.00","1,220.00","1,190.00","1,208.35","1,192.40","1,193.65","1,204.38","1,269.00","828.25","12,62,150","1,52,01,06,576.40","61,455"
"01-Aug-2024","EQ","1,188.95","1,216.00","1,188.00","1,188.95","1,210.00","1,208.35","1,205.36","1,269.00","828.25","16,75,363","2,01,94,12,646.45","71,592"
